NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166917	na	136	2.7309210300445557	0.036858533	Yes	
row_1	XM_047185568	na	193	2.470445156097412	0.074474074	Yes	
row_2	XM_047183222	na	212	2.3900108337402344	0.11317092	Yes	
row_3	XM_047166086	na	226	2.3528037071228027	0.15156619	Yes	
row_4	XM_047175231	na	231	2.3360812664031982	0.19025637	Yes	
row_5	XM_047175073	na	235	2.319673776626587	0.22873676	Yes	
row_6	XM_047171176	na	238	2.3132736682891846	0.26717418	Yes	
row_7	XM_047180647	na	262	2.22590970993042	0.30281657	Yes	
row_8	XM_047168803	na	269	2.2041783332824707	0.3391803	Yes	
row_9	XM_047183517	na	275	2.1944499015808105	0.37544557	Yes	
row_10	XM_047163507	na	283	2.1788792610168457	0.4113238	Yes	
row_11	XM_047169426	na	290	2.157946825027466	0.44691676	Yes	
row_12	XM_047180088	na	296	2.148818254470825	0.4824213	Yes	
row_13	XM_047166157	na	301	2.136636972427368	0.5177865	Yes	
row_14	XM_047178183	na	315	2.106712579727173	0.55207914	Yes	
row_15	XM_047178532	na	320	2.0928421020507812	0.58671427	Yes	
row_16	XM_047179539	na	322	2.0855836868286133	0.6214196	Yes	
row_17	XM_047163350	na	346	2.0016846656799316	0.6533239	Yes	
row_18	XM_047173894	na	925	1.2425875663757324	0.63719577	Yes	
row_19	XM_047174879	na	1081	1.1294018030166626	0.64614403	Yes	
row_20	XM_047176726	na	1117	1.1029198169708252	0.6623	Yes	
row_21	XM_047164064	na	1609	0.8534589409828186	0.6452303	No	
row_22	XM_047172572	na	1766	0.7938138842582703	0.6485202	No	
row_23	XM_047170005	na	1914	0.7482616305351257	0.6516243	No	
row_24	XM_047186264	na	2714	0.5370588898658752	0.6096471	No	
row_25	XM_047163512	na	2748	0.531689465045929	0.61640745	No	
row_26	XM_047177059	na	3070	0.4589444696903229	0.60359704	No	
row_27	XM_047184676	na	3528	0.39305931329727173	0.5810193	No	
row_28	XM_047165143	na	4299	0.3039606213569641	0.53700453	No	
row_29	XM_047172571	na	5381	0.12644536793231964	0.47020635	No	
row_30	XM_047163885	na	5382	0.12642790377140045	0.47231406	No	
row_31	XM_047170006	na	5996	0.03645240515470505	0.4338473	No	
row_32	XM_047164244	na	6324	0.0	0.41300336	No	
row_33	XM_047170686	na	6860	0.0	0.37890086	No	
row_34	XM_047178179	na	7479	0.0	0.33950767	No	
row_35	XM_047185060	na	8087	0.0	0.30081567	No	
row_36	XM_047183225	na	9093	-0.07572651654481888	0.23801643	No	
row_37	XM_047170004	na	9141	-0.08396470546722412	0.23642029	No	
row_38	XM_047186287	na	9309	-0.10884054750204086	0.22758971	No	
row_39	XM_047164250	na	9895	-0.2007889449596405	0.19364744	No	
row_40	XM_047172570	na	10513	-0.2888621985912323	0.15913367	No	
row_41	XM_047165254	na	10660	-0.2925594449043274	0.1547045	No	
row_42	XM_047170685	na	10864	-0.3193267285823822	0.14708821	No	
row_43	XM_047168041	na	11234	-0.33395886421203613	0.12913452	No	
row_44	XM_047164955	na	11824	-0.3952898681163788	0.09817984	No	
row_45	XM_047182865	na	12084	-0.4229586124420166	0.08872161	No	
row_46	XM_047178289	na	12180	-0.43641722202301025	0.0899416	No	
row_47	XM_047185099	na	13174	-0.554352879524231	0.035886507	No	
row_48	XM_047164649	na	13424	-0.5832923054695129	0.029738653	No	
row_49	XM_047186453	na	13451	-0.5874813199043274	0.03787532	No	
row_50	XM_047165710	na	13892	-0.6550546288490295	0.020748917	No	
row_51	XM_047166987	na	14107	-0.7048702239990234	0.01885891	No	
row_52	XM_047176804	na	14568	-0.8467380404472351	0.0036532264	No	
row_53	XM_047167743	na	15205	-1.151163935661316	-0.017696096	No	
row_54	XM_047167917	na	15538	-1.5354081392288208	-0.013261757	No	
row_55	XM_047166308	na	15550	-1.5754876136779785	0.0123022515	No	
