NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047182431	na	904	1.259383201599121	-0.029171305	No	
row_1	XM_047173597	na	1045	1.1536085605621338	-0.01195985	No	
row_2	XM_047174005	na	1241	1.0368788242340088	-9.0613734E-4	No	
row_3	XM_047166483	na	1462	0.9255436062812805	0.0060275802	No	
row_4	XM_047178772	na	1470	0.9213912487030029	0.026466968	No	
row_5	XM_047171639	na	1664	0.8300256133079529	0.032959376	No	
row_6	XM_047186263	na	1978	0.7276752591133118	0.029469825	No	
row_7	XM_047182480	na	1995	0.7211979627609253	0.04479654	No	
row_8	XM_047171700	na	2011	0.7170454263687134	0.060092974	No	
row_9	XM_047178671	na	2185	0.6679206490516663	0.06418773	No	
row_10	XM_047171937	na	2263	0.6488506197929382	0.073979676	No	
row_11	XM_047182433	na	2885	0.4968978464603424	0.045593373	No	
row_12	XM_047182448	na	3102	0.4552792012691498	0.042122412	No	
row_13	XM_047182441	na	3553	0.39112669229507446	0.022256609	No	
row_14	XM_047182757	na	4146	0.33341076970100403	-0.007984044	No	
row_15	XM_047171640	na	4636	0.2430650144815445	-0.03369625	No	
row_16	XM_047181337	na	5337	0.1334349513053894	-0.07536568	No	
row_17	XM_047185571	na	5493	0.11183532327413559	-0.082727134	No	
row_18	XM_047163240	na	5662	0.08671460300683975	-0.09148806	No	
row_19	XM_047167499	na	5743	0.07324430346488953	-0.09493565	No	
row_20	XM_047174415	na	5981	0.039146650582551956	-0.10918043	No	
row_21	XM_047171642	na	6064	0.026680132374167442	-0.11381124	No	
row_22	XM_047172838	na	6093	0.021473396569490433	-0.11511224	No	
row_23	XM_047163103	na	6231	0.0	-0.123859525	No	
row_24	XM_047163104	na	6232	0.0	-0.123859525	No	
row_25	XM_047166623	na	6508	0.0	-0.14141795	No	
row_26	XM_047167555	na	6579	0.0	-0.14588736	No	
row_27	XM_047168314	na	6655	0.0	-0.15067603	No	
row_28	XM_047169434	na	6734	0.0	-0.15565623	No	
row_29	XM_047170913	na	6876	0.0	-0.16465892	No	
row_30	XM_047172868	na	7061	0.0	-0.1764071	No	
row_31	XM_047176307	na	7336	0.0	-0.19390166	No	
row_32	XM_047184733	na	8052	0.0	-0.23955356	No	
row_33	XM_047185018	na	8082	0.0	-0.24140517	No	
row_34	XM_047184748	na	9070	-0.07243219763040543	-0.30278203	No	
row_35	XM_047180766	na	9313	-0.10944406688213348	-0.31575254	No	
row_36	XM_047163645	na	9334	-0.11257243156433105	-0.3144777	No	
row_37	XM_047185937	na	9470	-0.13130219280719757	-0.3201209	No	
row_38	XM_047185126	na	9583	-0.14883047342300415	-0.32389823	No	
row_39	XM_047168323	na	10184	-0.24427270889282227	-0.3566703	No	
row_40	XM_047183613	na	10313	-0.2659800052642822	-0.3588136	No	
row_41	XM_047171742	na	10393	-0.2792489528656006	-0.35752758	No	
row_42	XM_047176073	na	10413	-0.2814408838748932	-0.35236096	No	
row_43	XM_047163703	na	10710	-0.30043891072273254	-0.36444977	No	
row_44	XM_047164266	na	10765	-0.3099515736103058	-0.36087155	No	
row_45	XM_047170967	na	11261	-0.33395886421203613	-0.38490644	No	
row_46	XM_047168975	na	11464	-0.3487080931663513	-0.3898993	No	
row_47	XM_047172867	na	11489	-0.3530346155166626	-0.383429	No	
row_48	XM_047164533	na	12118	-0.42891573905944824	-0.41380328	Yes	
row_49	XM_047169278	na	12267	-0.44779548048973083	-0.41310215	Yes	
row_50	XM_047176255	na	12321	-0.4547777771949768	-0.40617713	Yes	
row_51	XM_047170496	na	12344	-0.45808833837509155	-0.39719775	Yes	
row_52	XM_047170966	na	12365	-0.46173804998397827	-0.3880079	Yes	
row_53	XM_047182489	na	12453	-0.4738243520259857	-0.382822	Yes	
row_54	XM_047185351	na	12501	-0.4796881079673767	-0.3749492	Yes	
row_55	XM_047168973	na	12517	-0.4815817177295685	-0.36499032	Yes	
row_56	XM_047180285	na	12567	-0.4878717362880707	-0.35705972	Yes	
row_57	XM_047163238	na	12596	-0.4911370575428009	-0.34771425	Yes	
row_58	XM_047183986	na	12627	-0.494150310754776	-0.3384282	Yes	
row_59	XM_047163239	na	12642	-0.4960426688194275	-0.32807767	Yes	
row_60	XM_047176600	na	12882	-0.5138885974884033	-0.33168858	Yes	
row_61	XM_047185899	na	13026	-0.53562331199646	-0.3286773	Yes	
row_62	XM_047175081	na	13097	-0.5477414727210999	-0.3207304	Yes	
row_63	XM_047171671	na	13339	-0.5692865252494812	-0.32321322	Yes	
row_64	XM_047167305	na	13347	-0.5704101324081421	-0.31072995	Yes	
row_65	XM_047185042	na	13844	-0.6442320942878723	-0.32779536	Yes	
row_66	XM_047167446	na	14051	-0.6918804049491882	-0.32526448	Yes	
row_67	XM_047164581	na	14219	-0.7378458976745605	-0.31920156	Yes	
row_68	XM_047164553	na	14288	-0.7559210658073425	-0.30640787	Yes	
row_69	XM_047178705	na	14385	-0.7867145538330078	-0.2947039	Yes	
row_70	XM_047178113	na	14430	-0.8036513924598694	-0.2792959	Yes	
row_71	XM_047180712	na	14682	-0.885648787021637	-0.27524582	Yes	
row_72	XM_047185094	na	15194	-1.1454265117645264	-0.28190774	Yes	
row_73	XM_047172804	na	15334	-1.2544735670089722	-0.262346	Yes	
row_74	XM_047181300	na	15374	-1.2920045852661133	-0.23554863	Yes	
row_75	XM_047176445	na	15380	-1.2993556261062622	-0.20641376	Yes	
row_76	XM_047164356	na	15394	-1.3137215375900269	-0.17746402	Yes	
row_77	XM_047180511	na	15524	-1.5154614448547363	-0.15134765	Yes	
row_78	XM_047168305	na	15579	-1.6412432193756104	-0.11759138	Yes	
row_79	XM_047164554	na	15585	-1.6533327102661133	-0.08043246	Yes	
row_80	XM_047178610	na	15598	-1.680145263671875	-0.04311269	Yes	
row_81	XM_047169346	na	15706	-2.3074960708618164	0.0023623884	Yes	
