NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174903	na	355	0.6398648023605347	0.016169671	Yes	
row_1	XM_047174121	na	375	0.6314417719841003	0.053254332	Yes	
row_2	XM_047179241	na	539	0.5604179501533508	0.07684898	Yes	
row_3	XM_047174843	na	560	0.5516372919082642	0.109029815	Yes	
row_4	XM_047175635	na	788	0.4737014174461365	0.12328409	Yes	
row_5	XM_047174491	na	1203	0.4042242467403412	0.12140014	Yes	
row_6	XM_047177035	na	1218	0.40021616220474243	0.14478005	Yes	
row_7	XM_047166626	na	1343	0.38441210985183716	0.16018708	Yes	
row_8	XM_047185425	na	1461	0.38276559114456177	0.1759406	Yes	
row_9	XM_047166937	na	1487	0.38124948740005493	0.19746877	Yes	
row_10	XM_047180165	na	1602	0.37725457549095154	0.21307936	Yes	
row_11	XM_047173935	na	1617	0.3741171061992645	0.23487641	Yes	
row_12	XM_047177273	na	1711	0.36842089891433716	0.25129035	Yes	
row_13	XM_047184086	na	1776	0.3677024841308594	0.26951	Yes	
row_14	XM_047172908	na	1791	0.3662518858909607	0.29083002	Yes	
row_15	XM_047182473	na	1799	0.36507517099380493	0.31252506	Yes	
row_16	XM_047168551	na	1844	0.35569870471954346	0.33129203	Yes	
row_17	XM_047173463	na	2064	0.3421868681907654	0.33808023	Yes	
row_18	XM_047169464	na	2088	0.33849889039993286	0.35714316	Yes	
row_19	XM_047177099	na	2091	0.3378002345561981	0.37750283	Yes	
row_20	XM_047182810	na	2103	0.33663007616996765	0.39721763	Yes	
row_21	XM_047177582	na	2350	0.30241715908050537	0.39987212	Yes	
row_22	XM_047170567	na	2498	0.2834615111351013	0.40768993	Yes	
row_23	XM_047175566	na	2536	0.27902668714523315	0.4222532	Yes	
row_24	XM_047174819	na	2611	0.269351989030838	0.43387032	Yes	
row_25	XM_047172072	na	2864	0.2391785979270935	0.43230686	Yes	
row_26	XM_047168007	na	3069	0.2188253551721573	0.43256983	Yes	
row_27	XM_047185573	na	3213	0.2040262073278427	0.43582505	Yes	
row_28	XM_047167093	na	3485	0.17811982333660126	0.42934686	Yes	
row_29	XM_047180651	na	3700	0.15462464094161987	0.42507845	Yes	
row_30	XM_047176354	na	3740	0.15059176087379456	0.43172476	Yes	
row_31	XM_047168827	na	3865	0.13911424577236176	0.4322547	Yes	
row_32	XM_047173326	na	3872	0.1383608728647232	0.44026354	Yes	
row_33	XM_047174437	na	4027	0.12426916509866714	0.43798015	No	
row_34	XM_047165417	na	4238	0.10546538978815079	0.43098536	No	
row_35	XM_047184889	na	4363	0.09522600471973419	0.42885357	No	
row_36	XM_047173324	na	4422	0.08935406059026718	0.43057427	No	
row_37	XM_047176849	na	4697	0.06237995624542236	0.4168853	No	
row_38	XM_047176850	na	4737	0.05937521159648895	0.41799942	No	
row_39	XM_047170819	na	4970	0.04245990142226219	0.40578052	No	
row_40	XM_047184638	na	5207	0.025118619203567505	0.39225483	No	
row_41	XM_047183475	na	5553	0.0014272151747718453	0.37034166	No	
row_42	XM_047174214	na	6788	0.0	0.2916527	No	
row_43	XM_047176852	na	7069	0.0	0.27379784	No	
row_44	XM_047184637	na	7885	0.0	0.22182742	No	
row_45	XM_047166148	na	8716	-0.015035374090075493	0.16981237	No	
row_46	XM_047163114	na	8902	-0.026222512125968933	0.15960577	No	
row_47	XM_047168425	na	8926	-0.028143081814050674	0.15984596	No	
row_48	XM_047181901	na	9273	-0.053935468196868896	0.14105357	No	
row_49	XM_047170673	na	9694	-0.08784635365009308	0.11959907	No	
row_50	XM_047178155	na	9947	-0.10978329181671143	0.11018792	No	
row_51	XM_047183214	na	10274	-0.13450054824352264	0.09755706	No	
row_52	XM_047183465	na	10474	-0.15224793553352356	0.09410102	No	
row_53	XM_047178272	na	10759	-0.1750142127275467	0.086605504	No	
row_54	XM_047182968	na	10904	-0.18800930678844452	0.08882555	No	
row_55	XM_047165387	na	11043	-0.20116493105888367	0.09222609	No	
row_56	XM_047165000	na	11349	-0.22810807824134827	0.08661154	No	
row_57	XM_047174185	na	12190	-0.3143976926803589	0.05211481	No	
row_58	XM_047164732	na	13733	-0.423103392124176	-0.02055374	No	
row_59	XM_047178158	na	14422	-0.495835542678833	-0.034353822	No	
row_60	XM_047180995	na	14725	-0.5587552189826965	-0.019723685	No	
row_61	XM_047174184	na	15728	-1.3945035934448242	9.564942E-4	No	
