NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173705	na	175	1.0999290943145752	0.039365403	No	
row_1	XM_047173100	na	689	0.7896889448165894	0.042939298	No	
row_2	XM_047173469	na	834	0.7391529679298401	0.06771027	No	
row_3	XM_047173680	na	1297	0.6449494957923889	0.06788687	No	
row_4	XM_047172970	na	1318	0.6399303674697876	0.09600374	No	
row_5	XM_047170606	na	1615	0.5937299132347107	0.10440783	No	
row_6	XM_047172619	na	2015	0.5425019264221191	0.103894375	No	
row_7	XM_047174021	na	2439	0.48736855387687683	0.09931903	No	
row_8	XM_047168762	na	3198	0.41034990549087524	0.0698551	No	
row_9	XM_047167115	na	3263	0.4016207158565521	0.08422224	No	
row_10	XM_047176488	na	3616	0.37770435214042664	0.07913528	No	
row_11	XM_047180083	na	3649	0.37661778926849365	0.09439356	No	
row_12	XM_047166977	na	3678	0.3725876212120056	0.10972168	No	
row_13	XM_047168463	na	3712	0.36680787801742554	0.124465674	No	
row_14	XM_047176798	na	6216	0.14649231731891632	-0.028334398	No	
row_15	XM_047163600	na	6259	0.1407589167356491	-0.0245463	No	
row_16	XM_047167009	na	6393	0.12701888382434845	-0.027189145	No	
row_17	XM_047166807	na	6698	0.09847286343574524	-0.042041752	No	
row_18	XM_047176135	na	7361	0.03853531554341316	-0.08246433	No	
row_19	XM_047168184	na	8079	0.0	-0.12816222	No	
row_20	XM_047169508	na	8155	0.0	-0.13294235	No	
row_21	XM_047169884	na	8190	0.0	-0.13510932	No	
row_22	XM_047168307	na	10040	-0.030389538034796715	-0.25155932	No	
row_23	XM_047167181	na	10470	-0.07040415704250336	-0.27566797	No	
row_24	XM_047180085	na	10670	-0.08076293766498566	-0.2846418	No	
row_25	XM_047165043	na	10861	-0.09593195468187332	-0.29234535	No	
row_26	XM_047170072	na	11149	-0.11877556145191193	-0.30518198	No	
row_27	XM_047166646	na	11489	-0.1474037617444992	-0.32001793	No	
row_28	XM_047177031	na	11589	-0.15552599728107452	-0.31918448	No	
row_29	XM_047179048	na	11845	-0.18079018592834473	-0.3271333	No	
row_30	XM_047169832	na	11848	-0.18126285076141357	-0.31893548	No	
row_31	XM_047183268	na	11888	-0.1846933215856552	-0.3129383	No	
row_32	XM_047167010	na	12231	-0.22349078953266144	-0.32447085	No	
row_33	XM_047176499	na	12432	-0.24812676012516022	-0.32582152	No	
row_34	XM_047170552	na	12750	-0.29388412833213806	-0.33252758	No	
row_35	XM_047164341	na	12759	-0.29554831981658936	-0.31946313	No	
row_36	XM_047177032	na	13064	-0.3396642208099365	-0.323238	No	
row_37	XM_047175252	na	13560	-0.3593248128890991	-0.33828318	Yes	
row_38	XM_047176500	na	13732	-0.39150694012641907	-0.33120018	Yes	
row_39	XM_047176800	na	14103	-0.44218093156814575	-0.334473	Yes	
row_40	XM_047184138	na	14196	-0.46420979499816895	-0.31901577	Yes	
row_41	XM_047180159	na	14297	-0.49103087186813354	-0.30283657	Yes	
row_42	XM_047168146	na	14652	-0.5943401455879211	-0.29810107	Yes	
row_43	XM_047177911	na	14676	-0.6042043566703796	-0.27181625	Yes	
row_44	XM_047184934	na	14687	-0.6067862510681152	-0.24458432	Yes	
row_45	XM_047173815	na	14717	-0.6145274043083191	-0.2182078	Yes	
row_46	XM_047164925	na	14923	-0.6423215270042419	-0.20177205	Yes	
row_47	XM_047184126	na	14974	-0.662646472454071	-0.17452389	Yes	
row_48	XM_047174332	na	15050	-0.6905115842819214	-0.14758927	Yes	
row_49	XM_047173254	na	15129	-0.7226228713989258	-0.11937101	Yes	
row_50	XM_047181667	na	15208	-0.7592129707336426	-0.08947219	Yes	
row_51	XM_047166325	na	15257	-0.7829853296279907	-0.056569472	Yes	
row_52	XM_047175281	na	15369	-0.8522600531578064	-0.024500312	Yes	
row_53	XM_047167669	na	15597	-1.0510371923446655	0.009305304	Yes	
