NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174185	na	475	0.9969292283058167	0.00662313	No	
row_1	XM_047178441	na	910	0.7936846613883972	0.0083364565	No	
row_2	XM_047173935	na	1060	0.7518196702003479	0.02666799	No	
row_3	XM_047173324	na	1763	0.6053846478462219	0.0043268707	No	
row_4	XM_047178440	na	2201	0.5100061297416687	-0.004651874	No	
row_5	XM_047178510	na	2394	0.47142788767814636	5.593734E-4	No	
row_6	XM_047166935	na	3353	0.3689509630203247	-0.046852972	No	
row_7	XM_047185745	na	3480	0.3687800168991089	-0.041234102	No	
row_8	XM_047175410	na	3792	0.35110196471214294	-0.048062816	No	
row_9	XM_047165000	na	4262	0.29389849305152893	-0.06708105	No	
row_10	XM_047166934	na	4292	0.2899661660194397	-0.058196135	No	
row_11	XM_047178508	na	4351	0.28146058320999146	-0.05147474	No	
row_12	XM_047170785	na	4652	0.2439233362674713	-0.061569627	No	
row_13	XM_047163258	na	5194	0.17841751873493195	-0.08945236	No	
row_14	XM_047178556	na	6351	0.0365297831594944	-0.16179174	No	
row_15	XM_047178155	na	6374	0.03395910933613777	-0.16193713	No	
row_16	XM_047171104	na	6492	0.022940296679735184	-0.16854636	No	
row_17	XM_047166405	na	7148	0.0	-0.21030068	No	
row_18	XM_047166936	na	7200	0.0	-0.21355177	No	
row_19	XM_047167021	na	9832	-0.017995458096265793	-0.38060415	No	
row_20	XM_047174894	na	9885	-0.022693775594234467	-0.38307893	No	
row_21	XM_047178509	na	9961	-0.0315520204603672	-0.38669202	No	
row_22	XM_047180651	na	9986	-0.03466933220624924	-0.3869386	No	
row_23	XM_047174843	na	10255	-0.06818916648626328	-0.40149868	No	
row_24	XM_047174819	na	10574	-0.10393574088811874	-0.41792288	No	
row_25	XM_047179241	na	10708	-0.11806470900774002	-0.4220309	No	
row_26	XM_047179382	na	10959	-0.15221048891544342	-0.43233332	No	
row_27	XM_047166148	na	11132	-0.17090362310409546	-0.43697155	No	
row_28	XM_047165623	na	11165	-0.1749115139245987	-0.4325368	No	
row_29	XM_047175598	na	11297	-0.19263742864131927	-0.4337569	No	
row_30	XM_047169933	na	11445	-0.21022097766399384	-0.435346	No	
row_31	XM_047174184	na	11924	-0.2713802754878998	-0.45577154	No	
row_32	XM_047167093	na	12193	-0.3119588792324066	-0.46130806	No	
row_33	XM_047180304	na	12403	-0.34389716386795044	-0.46190128	No	
row_34	XM_047181042	na	12696	-0.35576146841049194	-0.4673463	No	
row_35	XM_047180306	na	12846	-0.3661865293979645	-0.46328962	No	
row_36	XM_047172908	na	13299	-0.39561572670936584	-0.47745892	No	
row_37	XM_047185830	na	13967	-0.4891265630722046	-0.50187236	Yes	
row_38	XM_047170904	na	14254	-0.5432297587394714	-0.4999955	Yes	
row_39	XM_047170286	na	14372	-0.5678293704986572	-0.48643476	Yes	
row_40	XM_047172412	na	14532	-0.6086317896842957	-0.47404104	Yes	
row_41	XM_047174903	na	14601	-0.6267499327659607	-0.45517564	Yes	
row_42	XM_047185267	na	14611	-0.6295501589775085	-0.43244553	Yes	
row_43	XM_047165100	na	14754	-0.6570909023284912	-0.4171743	Yes	
row_44	XM_047178869	na	14876	-0.6825806498527527	-0.39962086	Yes	
row_45	XM_047179642	na	14946	-0.7080481648445129	-0.37780982	Yes	
row_46	XM_047173326	na	14957	-0.710716187953949	-0.35213897	Yes	
row_47	XM_047178303	na	15119	-0.7694383263587952	-0.3339202	Yes	
row_48	XM_047183475	na	15305	-0.8685911297798157	-0.31356108	Yes	
row_49	XM_047185873	na	15346	-0.8950435519218445	-0.28297946	Yes	
row_50	XM_047164249	na	15465	-0.9977260231971741	-0.25356916	Yes	
row_51	XM_047182810	na	15527	-1.0611106157302856	-0.21817896	Yes	
row_52	XM_047179549	na	15589	-1.1187959909439087	-0.18065345	Yes	
row_53	XM_047169187	na	15630	-1.1982430219650269	-0.1388484	Yes	
row_54	XM_047165802	na	15648	-1.232818841934204	-0.09429727	Yes	
row_55	XM_047169210	na	15680	-1.3397939205169678	-0.046678744	Yes	
row_56	XM_047163119	na	15688	-1.3677940368652344	0.0035061773	Yes	
