NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174185	na	475	0.9969292283058167	0.0070668412	No	
row_1	XM_047178158	na	605	0.9335588216781616	0.03382262	No	
row_2	XM_047176354	na	927	0.7881922125816345	0.042887967	No	
row_3	XM_047173935	na	1060	0.7518196702003479	0.06264242	No	
row_4	XM_047180165	na	1091	0.7447017431259155	0.088634424	No	
row_5	XM_047177582	na	1296	0.6820743680000305	0.10118417	No	
row_6	XM_047176850	na	1431	0.6616960167884827	0.117434025	No	
row_7	XM_047173324	na	1763	0.6053846478462219	0.11901164	No	
row_8	XM_047180995	na	2306	0.4869851768016815	0.102697745	No	
row_9	XM_047184638	na	2370	0.474771648645401	0.11647077	No	
row_10	XM_047168007	na	2460	0.4609508514404297	0.12806796	No	
row_11	XM_047177035	na	3030	0.39119452238082886	0.10644292	No	
row_12	XM_047165000	na	4262	0.29389849305152893	0.03895807	No	
row_13	XM_047181901	na	4956	0.20678167045116425	0.002515677	No	
row_14	XM_047170567	na	4993	0.20235460996627808	0.0078025647	No	
row_15	XM_047165417	na	5525	0.13401846587657928	-0.021036053	No	
row_16	XM_047178272	na	5595	0.12592007219791412	-0.020717598	No	
row_17	XM_047177273	na	5603	0.12499836087226868	-0.016480105	No	
row_18	XM_047170673	na	5709	0.111501045525074	-0.018997578	No	
row_19	XM_047182968	na	6173	0.05441528931260109	-0.046482857	No	
row_20	XM_047178155	na	6374	0.03395910933613777	-0.057963837	No	
row_21	XM_047166626	na	7173	0.0	-0.10885021	No	
row_22	XM_047166937	na	7201	0.0	-0.11057193	No	
row_23	XM_047170819	na	7605	0.0	-0.13627018	No	
row_24	XM_047174214	na	7975	0.0	-0.15980035	No	
row_25	XM_047183214	na	9813	-0.015884779393672943	-0.2763458	No	
row_26	XM_047176852	na	9923	-0.026980632916092873	-0.28228545	No	
row_27	XM_047180651	na	9986	-0.03466933220624924	-0.28493991	No	
row_28	XM_047174437	na	10134	-0.04933149740099907	-0.29246518	No	
row_29	XM_047176849	na	10254	-0.0678623616695404	-0.29751062	No	
row_30	XM_047174843	na	10255	-0.06818916648626328	-0.29495546	No	
row_31	XM_047174819	na	10574	-0.10393574088811874	-0.31133887	No	
row_32	XM_047179241	na	10708	-0.11806470900774002	-0.3153959	No	
row_33	XM_047166148	na	11132	-0.17090362310409546	-0.33596548	No	
row_34	XM_047165387	na	11836	-0.2593286633491516	-0.37107655	No	
row_35	XM_047174184	na	11924	-0.2713802754878998	-0.3664553	No	
row_36	XM_047167093	na	12193	-0.3119588792324066	-0.3718554	Yes	
row_37	XM_047172072	na	12346	-0.3349646031856537	-0.36899647	Yes	
row_38	XM_047175635	na	12388	-0.3422625958919525	-0.35878587	Yes	
row_39	XM_047175566	na	12411	-0.3448006212711334	-0.34726858	Yes	
row_40	XM_047184637	na	12587	-0.3472333252429962	-0.34541655	Yes	
row_41	XM_047183465	na	12651	-0.34853285551071167	-0.33637387	Yes	
row_42	XM_047169464	na	12951	-0.3694388270378113	-0.34159693	Yes	
row_43	XM_047172908	na	13299	-0.39561572670936584	-0.34889993	Yes	
row_44	XM_047174491	na	13484	-0.4197410047054291	-0.34490484	Yes	
row_45	XM_047164732	na	13490	-0.42072567343711853	-0.32945848	Yes	
row_46	XM_047168551	na	13540	-0.42453572154045105	-0.31667513	Yes	
row_47	XM_047185425	na	13782	-0.45942240953445435	-0.31482786	Yes	
row_48	XM_047184889	na	13928	-0.48349153995513916	-0.30595702	Yes	
row_49	XM_047163114	na	14170	-0.5255098938941956	-0.30163336	Yes	
row_50	XM_047174903	na	14601	-0.6267499327659607	-0.30556813	Yes	
row_51	XM_047168827	na	14867	-0.6780798435211182	-0.29705787	Yes	
row_52	XM_047173326	na	14957	-0.710716187953949	-0.27610162	Yes	
row_53	XM_047185573	na	15130	-0.7754079699516296	-0.258014	Yes	
row_54	XM_047173463	na	15153	-0.7848429083824158	-0.2300077	Yes	
row_55	XM_047183475	na	15305	-0.8685911297798157	-0.20708923	Yes	
row_56	XM_047184086	na	15331	-0.8858429193496704	-0.17548962	Yes	
row_57	XM_047174121	na	15400	-0.9410357475280762	-0.14456387	Yes	
row_58	XM_047168425	na	15470	-1.0014736652374268	-0.11143718	Yes	
row_59	XM_047182810	na	15527	-1.0611106157302856	-0.07524684	Yes	
row_60	XM_047182473	na	15559	-1.0880392789840698	-0.03645326	Yes	
row_61	XM_047177099	na	15671	-1.2842496633529663	0.0045912163	Yes	
