NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185049	na	599	0.9362996220588684	0.07810441	Yes	
row_1	XM_047184732	na	937	0.7856459021568298	0.15417644	Yes	
row_2	XM_047164707	na	1053	0.7538102269172668	0.24041851	Yes	
row_3	XM_047168625	na	1174	0.718155562877655	0.32191736	Yes	
row_4	XM_047172324	na	1351	0.6726177930831909	0.3942023	Yes	
row_5	XM_047177101	na	1798	0.5985865592956543	0.44012454	Yes	
row_6	XM_047176706	na	1989	0.5580002069473267	0.4972935	Yes	
row_7	XM_047179963	na	3429	0.3689509630203247	0.45155123	No	
row_8	XM_047186307	na	4875	0.21765166521072388	0.38664922	No	
row_9	XM_047173784	na	4931	0.20988541841506958	0.40920007	No	
row_10	XM_047172325	na	5306	0.16431830823421478	0.40580416	No	
row_11	XM_047179104	na	6526	0.018720246851444244	0.33058798	No	
row_12	XM_047164998	na	7055	0.0	0.29700232	No	
row_13	XM_047184253	na	8998	0.0	0.17347328	No	
row_14	XM_047184254	na	8999	0.0	0.17347328	No	
row_15	XM_047186063	na	9202	0.0	0.16062424	No	
row_16	XM_047186306	na	9228	0.0	0.159034	No	
row_17	XM_047182938	na	10311	-0.07395544648170471	0.09938764	No	
row_18	XM_047184255	na	10560	-0.10185892879962921	0.09625451	No	
row_19	XM_047167594	na	11882	-0.26639503240585327	0.045289677	No	
row_20	XM_047178049	na	13710	-0.44929614663124084	-0.015161126	No	
row_21	XM_047175642	na	14377	-0.5703268051147461	0.013259732	No	
row_22	XM_047167098	na	14466	-0.5927442908287048	0.08122899	No	
